# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2011_t03,14,2,"Julia Reisser, Blaise Bratter",22.08.11,7:43,7:59,16,Neuston/ 335/ 1.2 x 0.6,3.9,265,16,267,17.5,35.61,636.3,-33.11807,114.46918,-33.12185,114.44968,457207,501404,44197,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,14,3,"Julia Reisser, Blaise Bratter",22.08.11,8:01,8:16,15,Neuston/ 335/ 1.2 x 0.6,4,259,16,267,17.5,35.61,666.3,-33.12218,114.44685,-33.12548,114.42772,501404,540339,38935,1,0,0,0,0,1,0,0,458.2972
Southern Surveyor/ss2012_t01,15,1,"Julia Reisser, Dagmar Kubistin",11.04.12,21:39,21:56,17,Manta/ 333/ 1 x 0.17,3.2,54,6,333,16.8,35.41,75.1,-41.89778,148.44818,-41.89247,148.46368,135,50115,49980,1,0,0,0,0,1,0,0,708.0883
Southern Surveyor/ss2012_t01,15,2,"Julia Reisser, Dagmar Kubistin",11.04.12,22:20,22:36,16,Manta/ 333/ 1 x 0.17,2.6,49,7,326,16.9,35.44,83.8,-41.88393,148.48472,-41.87718,148.4999,50117,NA,NA,3,1,0,0,0,4,0,0,2732.4111
Southern Surveyor/ss2012_t01,15,3,"Julia Reisser, Dagmar Kubistin",11.04.12,22:38,22:53,15,Manta/ 333/ 1 x 0.17,2.9,53,5,9,16.8,35.46,82.1,-41.8759,148.50267,-41.86972,148.51562,NA,143631,NA,3,0,0,0,0,3,0,0,2355.3512
Southern Surveyor/ss2012_t01,16,1,"Julia Reisser, Dagmar Kubistin",12.04.12,14:30,14:45,15,Manta/ 333/ 1 x 0.17,3.6,266,23,272,17.7,35.53,1143.9,-39.65648,148.89263,-39.6528,148.87597,143638,190141,46503,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2012_t01,16,2,"Julia Reisser, Dagmar Kubistin",12.04.12,14:47,15:02,15,Manta/ 333/ 1 x 0.17,3.5,289,22,262,17.7,35.53,795.9,-39.65205,148.87323,-39.64137,148.86225,190141,223791,33650,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2012_t01,16,3,"Julia Reisser, Dagmar Kubistin",12.04.12,15:04,15:18,14,Manta/ 333/ 1 x 0.17,2.9,314,17,272,17.7,35.53,1049.8,-39.64013,148.86148,-39.62817,148.85178,223791,275508,51717,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2012_t01,17,1,"Julia Reisser, Christopher Caldow",13.04.12,4:38,4:54,16,Manta/ 333/ 1 x 0.17,3.4,44,5,219,19.8,35.45,1783.4,-37.64452,150.39712,-37.63058,150.39982,275500,330122,54622,5,1,0,0,0,6,0,0,3823.5915
Southern Surveyor/ss2012_t01,17,2,"Julia Reisser, Christopher Caldow",13.04.12,4:55,5:11,16,Manta/ 333/ 1 x 0.17,2.7,14,5,212,19.8,35.51,1772.5,-37.62907,150.40002,-37.61558,150.4018,330122,381815,51693,2,2,1,0,0,5,0,0,3313.0121
